id,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
17574138,2,2,94122,37.75279711913528,-122.47039206301878,6,2,3,4,$150.00,1,5,8,0,0,0,0,1,100,10,10,10,10,10,10,1,0.07
17576074,5,5,94124,37.72859013957058,-122.37180501663764,2,1,1,1,$102.00,1,1,1125,14,44,74,164,60,95,10,10,10,10,9,10,4,3.87
17585947,1,1,94121,37.778447408125764,-122.50031356789661,5,1,2,3,$200.00,2,3,7,0,12,24,24,58,99,10,10,10,10,10,10,1,3.33
17587530,1,1,94123,37.80090120448476,-122.43895241360664,2,1,0,1,$154.00,2,30,1125,5,28,53,328,18,100,10,10,10,10,10,10,1,1.04
17588923,4,4,94103,37.76832742785573,-122.42505707071774,1,1,1,1,$115.00,1,1,14,4,25,54,54,60,99,10,10,10,10,10,10,4,3.47
17590102,4,4,94103,37.768474040775665,-122.42515839691657,1,1,1,1,$125.00,1,1,14,8,33,62,62,55,98,10,10,10,10,10,10,4,3.1
17591620,2,2,94132,37.715200029924894,-122.46245842482418,2,1,1,1,$90.00,1,3,31,19,47,69,159,5,80,8,9,9,9,8,7,2,0.33
17592480,3,3,94124,37.735067606194136,-122.38799571695442,2,1,1,1,$103.00,1,2,21,3,30,60,60,84,99,10,10,10,10,10,10,3,4.7
17593967,1,1,94114,37.75369163237058,-122.42577019384481,2,1,1,1,$200.00,1,30,1125,0,30,60,149,2,100,10,10,10,10,10,10,1,0.13
17603219,1,1,94127,37.738259591599096,-122.44372192379487,7,3,3,4,$350.00,1,3,14,0,0,0,0,7,100,10,9,10,10,10,10,1,0.49
17606766,1,1,94122,37.753325528024504,-122.50341089668765,8,2,2,4,$199.00,1,2,1125,5,7,30,285,83,86,9,8,10,10,9,9,1,4.93
17610163,1,1,94110,37.75832563492701,-122.41601188893429,1,1,0,1,$100.00,1,180,1125,30,60,90,365,0,,,,,,,,1,
17620359,1,1,94109,37.78742697496288,-122.41655347816028,3,3,1,3,$28.00,1,90,1125,0,0,0,77,0,,,,,,,,1,
17622741,3,3,94110,37.75113928991527,-122.42557540332966,2,1,1,1,$125.00,1,31,1125,30,60,90,365,3,100,10,10,10,10,10,10,2,0.19
17622881,1,1,94112,37.71696051519892,-122.42893346083825,2,1,1,1,$49.00,1,3,1125,2,7,18,100,55,95,10,10,10,10,9,10,1,3.19
17624633,1,1,,37.77780725992001,-122.41874923543827,2,1,1,2,$125.00,2,30,90,30,60,90,179,5,87,9,9,10,10,7,9,1,0.28
17624771,1,1,94131,37.74590391313536,-122.44015675087887,6,1,3,4,$299.00,4,30,283,27,57,87,111,70,98,10,10,10,10,10,10,1,4.02
17626598,1,1,94110,37.75905601733582,-122.40905833596074,6,2,2,2,$375.00,1,3,1094,0,0,0,0,10,98,10,10,10,10,10,9,1,0.7
17626794,19,19,94109,37.79083486077942,-122.42106847356953,2,1,1,1,$76.00,1,30,1125,0,0,0,258,2,,,,,,,,19,0.3
17626853,19,19,94109,37.79107084514965,-122.42128266628417,2,1,1,1,$76.00,1,30,1125,2,2,2,261,0,,,,,,,,19,
17626927,19,19,94109,37.79201938705246,-122.41923425432398,2,1,1,1,$76.00,1,30,1125,0,0,25,300,1,100,10,10,10,10,8,8,19,0.11
17636878,886,886,94111,37.796985792023996,-122.3998650924994,3,1,0,2,$199.00,1,30,1125,29,59,89,363,0,,,,,,,,30,
17642091,1,1,94110,37.74590829510055,-122.41847786827698,3,1,0,1,$118.00,3,2,100000,1,3,5,31,56,99,10,10,10,10,10,10,1,3.81
17651619,5,5,94133,37.804626282699665,-122.41536479751674,1,1.5,1,1,$60.00,1,30,1125,0,0,0,100,30,97,10,9,10,10,10,10,3,1.67
17651864,2,2,94110,37.74820963787323,-122.41505591036302,2,1,1,2,$150.00,2,7,1125,0,0,0,0,3,100,10,10,10,10,9,10,1,0.21
17652643,2,2,94110,37.75511426947223,-122.41681683114189,1,1,1,1,$89.00,1,6,29,5,17,17,208,32,96,10,10,10,10,10,10,2,1.98
17654489,2,2,94123,37.80184129998654,-122.4476765703336,6,3.5,3,3,$750.00,1,30,182,1,1,8,97,0,,,,,,,,1,
17669758,4,4,94103,37.76874443438579,-122.42514569019443,1,1,1,1,$69.00,1,1,14,7,35,64,64,61,98,10,10,10,10,10,10,4,3.44
17670075,4,4,94103,37.7692140667443,-122.42553055539942,1,1,1,1,$62.00,1,1,14,5,28,57,57,64,97,10,10,10,10,10,9,4,3.58
17670655,1,1,94131,37.736333145014946,-122.43198890998671,4,1,2,2,$200.00,4,3,21,0,0,0,0,18,98,10,10,10,10,10,9,1,1.15
17687799,1,1,94123,37.80419416818779,-122.4281461069509,2,1,1,1,$150.00,1,1,1125,1,11,34,118,90,96,10,10,10,10,10,9,1,5.56
17695233,3,3,94110,37.759643593049795,-122.4193609528873,4,1,1,2,$335.00,2,1,3,0,0,7,23,4,100,10,10,10,10,10,10,3,0.26
17696905,24,24,94117,37.76989597327568,-122.45074522474503,2,1,1,1,$90.00,1,1,23,6,36,63,240,81,95,10,9,10,10,10,9,23,4.68
17714209,62,62,94109,37.80099138995673,-122.42427178397759,3,1,1,1,$170.00,1,30,1125,28,58,88,88,2,100,10,10,10,10,10,9,59,0.14
17715373,2,2,94102,37.78083509639837,-122.42363082820319,2,1,1,1,$60.00,1,32,32,30,60,90,115,1,40,8,6,10,2,6,10,1,0.06
17716381,89,89,94118,37.77327494064537,-122.46908645229576,2,1,1,1,$110.00,2,30,1125,30,60,90,335,0,,,,,,,,1,
17717979,7,7,94109,37.78544483284941,-122.4150520512108,1,0,1,1,$95.00,1,2,1125,4,9,29,304,30,89,9,9,10,10,9,9,7,1.98
17718199,8,8,94118,37.77729891979089,-122.4742679059664,4,1,1,3,$77.00,2,1,29,3,17,47,322,97,97,10,10,10,10,10,9,3,5.74
17721104,1,1,94118,37.77529459554757,-122.47303057452685,8,3,4,4,$345.00,4,2,1124,2,9,19,68,85,97,10,10,10,10,10,10,1,4.87
17721392,2,2,94110,37.7453003422857,-122.42133197701133,4,1,2,2,$250.00,1,3,1125,0,0,0,0,5,92,10,10,10,10,9,8,2,0.38
17722015,1,1,94115,37.7839617071194,-122.44422857763882,2,1,1,1,$80.00,1,30,90,0,0,0,0,14,97,10,10,10,10,10,10,1,0.78
17723975,1,1,94127,37.73620908270564,-122.4521601176569,2,1,1,1,$100.00,2,2,6,12,12,12,12,2,100,10,10,10,10,10,10,1,0.11
17731097,24,24,94117,37.7691767958319,-122.44932021796647,1,5,1,1,$50.00,1,1,22,4,32,59,236,35,95,10,9,10,9,10,9,23,1.94
17731924,355,355,94107,37.78131931500176,-122.39226195987511,2,1.5,1,1,$304.00,1,30,1125,30,60,90,365,2,90,9,10,10,9,10,9,156,0.14
17734527,1,1,94122,37.75909263713156,-122.47281617488969,2,1,1,1,$121.00,2,30,40,14,14,14,289,3,93,9,9,10,10,10,10,1,0.18
17751058,1,1,94114,37.75349045277678,-122.43138500874939,2,1,1,1,$163.00,1,2,30,0,9,30,108,65,98,10,10,10,10,10,9,1,5.4
17753503,1,1,94110,37.735908332865876,-122.4106918859717,2,1,1,1,$65.00,1,1,14,2,24,43,43,153,99,10,10,10,10,10,10,1,8.76
17763907,62,62,94108,37.791829317153535,-122.40770796284119,3,1,1,1,$155.00,1,30,1125,30,60,89,89,0,,,,,,,,59,
17764085,1,1,94110,37.74103488512163,-122.4148368694001,6,2,3,4,$190.00,1,5,30,0,0,0,0,3,93,10,9,10,10,10,10,1,0.2
17764344,62,62,94108,37.791719823946465,-122.40813274609098,3,1,1,1,$155.00,1,30,1125,29,59,88,88,1,,,,,,,,59,0.06
17767353,24,24,94117,37.770169305813425,-122.44923314973,2,5,1,1,$90.00,1,1,25,10,40,67,244,44,95,10,9,10,10,10,9,23,2.55
17767863,24,24,94117,37.769901716596245,-122.44933903471838,2,1,1,1,$90.00,1,1,22,2,21,48,221,57,93,10,9,10,9,10,9,23,3.21
17775235,1,1,94110,37.732604827684824,-122.41423281855356,2,1.5,1,1,$105.00,1,2,14,15,45,74,74,29,96,10,10,10,10,10,9,1,1.94
17775284,20,20,94103,37.76950575082718,-122.42555257869492,1,5,1,1,$62.00,1,30,180,6,30,60,335,3,93,9,9,10,9,10,9,20,0.24
17775340,1,1,94117,37.77093838861822,-122.44353381848286,3,1,2,2,$155.00,1,30,180,6,36,66,155,0,,,,,,,,1,
17776449,2,2,94117,37.77844609321856,-122.43165843947222,3,1,1,1,$130.00,2,2,1125,0,0,0,0,36,97,10,9,10,10,10,9,2,2.02
17777195,9,9,94118,37.77888192452465,-122.47353721952022,2,1.5,1,1,$82.00,1,1,30,6,25,55,56,27,85,9,8,9,9,10,8,2,2.56
17778664,1,1,94118,37.78608951083363,-122.46935593030362,4,1,1,2,$260.00,1,1,30,0,17,26,162,32,97,10,10,10,10,10,9,1,1.79
17794305,1,1,94133,37.80216358558351,-122.40583760073541,3,1,1,1,$195.00,1,3,10,5,11,27,95,10,100,10,10,10,10,10,10,1,0.61
17795712,2,2,94110,37.75964044745488,-122.40942823733772,4,1,2,2,$250.00,2,2,29,4,16,46,306,54,90,9,9,10,10,9,8,2,3.74
17806044,2,2,94132,37.73409872743843,-122.47988111730058,7,2,3,4,$295.00,6,30,1125,30,60,90,365,18,88,9,9,10,10,10,9,2,1.15
