id,host_total_listings_count,longitude,accommodates,price,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
3175769,1,-122.44403065836235,4,$350.00,1125,308,5,100,10,10,10,10,10,9,1,0.1
3176619,1,-122.41507222667848,5,$750.00,1125,296,11,100,10,9,10,10,10,9,1,0.28
3182798,3,-122.40944425270467,4,$208.00,1125,48,94,96,9,9,10,10,10,9,2,1.83
3183280,1,-122.39505584634296,4,$375.00,1125,73,35,99,10,10,10,10,10,9,1,0.69
3183332,1,-122.41112132871007,4,$275.00,1125,105,79,99,10,10,10,10,10,10,1,4.7
3191842,32,-122.39440007823723,2,$142.00,1125,320,3,93,9,9,10,8,10,9,32,0.11
3200340,2,-122.40820039533638,2,$67.00,1125,357,21,93,10,9,10,10,9,8,2,0.41
3200431,4,-122.4454054107154,2,$300.00,120,146,14,96,10,9,10,10,10,9,4,0.27
3201044,1,-122.44761657896956,6,$600.00,45,342,21,98,10,10,10,10,9,9,1,0.41
3218306,2,-122.4440892901586,2,$126.00,30,0,164,98,10,10,10,10,10,10,2,3.21
3221082,8,-122.4399203031808,8,$279.00,1125,94,71,95,10,10,10,10,10,10,3,1.4
3225725,2,-122.4004533923174,2,$97.00,1125,212,10,88,10,8,9,10,8,9,1,0.2
3230459,1,-122.42499131823128,2,$145.00,29,303,98,92,9,10,10,10,10,9,1,1.92
3238142,3,-122.42190860484286,4,$196.00,29,94,232,94,10,9,10,10,10,9,2,4.55
3240016,2,-122.43770415302525,2,$120.00,1125,336,157,97,10,10,10,10,10,9,2,3.07
3246879,41,-122.42609854123215,2,$150.00,1125,346,0,,,,,,,,31,
3250486,2,-122.4245924352952,2,$146.00,16,7,58,98,10,10,10,10,10,10,2,1.13
3257886,2,-122.49778681725688,4,$160.00,27,174,389,94,10,10,10,10,9,9,1,7.59
3257979,1,-122.46957936976808,2,$53.00,35,276,184,96,10,9,10,10,9,10,1,3.58
3258040,1,-122.45089654745566,4,$350.00,1000,229,152,99,10,10,10,10,10,10,1,3
3261876,3,-122.40866863773338,1,$159.00,365,259,97,96,10,10,10,10,9,9,3,1.93
3262216,1,-122.43514984654618,6,$360.00,10,0,4,100,10,10,10,10,9,10,1,0.08
3262842,1,-122.4653268318873,5,$189.00,1125,326,15,92,9,9,9,9,9,9,1,0.36
3263219,1,-122.42140706978678,4,$225.00,48,0,26,99,10,10,10,10,10,10,1,0.51
3271517,1,-122.43017756184395,2,$125.00,1125,319,193,98,10,10,10,10,10,10,1,3.75
3277849,1,-122.49051769998277,7,$200.00,1120,6,162,95,10,9,10,10,9,9,1,3.2
3283447,2,-122.42988202919629,2,$75.00,1125,365,201,97,10,10,10,10,10,9,1,4.62
3284042,2,-122.44384266088824,2,$100.00,29,1,20,98,10,10,10,10,10,10,2,0.48
3288881,2,-122.40440024011174,3,$438.00,1001,298,21,89,9,9,9,9,10,9,2,0.41
3290706,1,-122.45083956487014,2,$129.00,25,207,93,98,10,10,10,10,9,10,1,1.91
3290739,5,-122.4362379846459,2,$119.00,28,23,246,97,10,10,10,10,10,9,4,4.86
3291408,1,-122.43526726822566,4,$100.00,120,365,16,93,9,7,9,10,10,10,1,0.31
3291691,1,-122.43553240208988,4,$275.00,9,0,4,100,10,10,10,10,10,10,1,0.08
3292643,1,-122.50818307803273,4,$245.00,1125,0,18,99,10,10,10,10,10,10,1,0.45
3293492,2,-122.41713395878979,2,$99.00,1125,0,17,92,10,9,10,10,10,9,1,0.43
3306409,2,-122.40660784888016,2,$233.00,1125,337,19,93,9,9,9,9,10,9,2,0.38
3309722,1,-122.42521382517937,2,$200.00,29,43,291,98,10,10,10,10,10,10,1,5.92
3311711,1,-122.41743202956106,2,$105.00,10,271,304,98,10,10,10,10,9,10,1,5.91
3312490,2,-122.47783990142119,2,$155.00,21,30,96,97,10,10,10,10,9,9,2,1.88
3319159,18,-122.43046684960548,2,$110.00,1125,279,17,94,10,9,10,10,10,9,11,0.38
3319447,1,-122.45601441844698,2,$185.00,1125,310,159,96,10,10,10,10,10,9,1,3.11
3325741,1,-122.43994719162667,2,$100.00,29,45,336,96,10,10,10,10,10,10,1,6.7
3326640,2,-122.42236085835574,4,$250.00,180,342,3,100,10,10,10,10,10,9,2,0.06
3333870,1,-122.44584476844338,2,$150.00,21,308,148,100,10,10,10,10,10,10,1,2.88
3333937,41,-122.4142622860836,2,$141.00,1125,281,8,98,10,10,10,10,9,10,31,0.17
3343629,33,-122.43731921087223,4,$217.00,1125,357,4,90,10,10,7,7,9,9,23,0.1
3344631,1,-122.41782142606588,4,$110.00,1125,126,133,90,9,9,10,10,9,9,1,2.59
3354004,1,-122.41141312499445,2,$65.00,1125,282,31,94,10,10,10,10,10,9,1,0.77
3354928,4,-122.42989626898337,4,$350.00,1125,141,99,89,9,9,10,9,9,8,2,1.95
3355334,3,-122.41406517659468,2,$150.00,14,0,21,100,10,10,10,10,10,10,3,0.97
3376895,2,-122.4223506047681,2,$80.00,1125,247,195,96,10,10,10,10,9,9,2,3.83
3377936,1,-122.41115314011375,4,$190.00,1125,67,26,98,10,10,10,10,9,10,1,0.62
3384413,1,-122.41852620133582,4,$327.00,25,3,67,96,10,10,10,10,9,9,1,1.36
3385880,1,-122.42289338227427,6,$250.00,365,0,12,94,9,9,10,10,9,9,1,0.24
3391368,1,-122.40498414421917,2,$125.00,27,30,116,97,10,10,10,10,9,9,1,2.35
3394127,1,-122.39310336107103,2,$169.00,20,13,59,98,10,10,10,10,10,10,1,1.16
3395051,1,-122.43060762792926,6,$500.00,30,2,5,100,10,10,10,10,10,10,1,0.11
3402610,2,-122.41615112396872,2,$175.00,90,2,71,98,10,10,10,10,9,10,2,2.5
3404981,2,-122.43437393573885,4,$104.00,15,75,150,87,9,8,9,9,9,9,2,2.95
3415171,2,-122.40501842151056,4,$115.00,1125,250,83,94,9,10,10,9,10,9,1,1.64
3416013,3,-122.39628693670996,2,$133.00,1125,146,258,99,10,10,10,10,10,10,3,5.16
3433930,1,-122.44155699790113,2,$96.00,29,0,163,100,10,10,10,10,10,10,1,3.24
3434710,2,-122.41819502312534,2,$120.00,300,266,27,98,10,10,10,10,10,10,2,0.54
3441517,1,-122.45074328784993,2,$150.00,29,314,104,99,10,10,10,10,10,10,1,3.28
3441719,4,-122.46735067091916,4,$60.00,30,152,255,82,9,7,10,9,9,8,4,5.04
3441949,1,-122.41600875679039,4,$194.00,90,0,28,100,10,10,10,10,10,10,1,1.04
3442439,1,-122.42180888425295,2,$100.00,21,21,55,100,10,10,10,10,9,10,1,7.6
3465396,5,-122.39637848939205,2,$120.00,1125,153,19,96,10,9,10,9,10,10,4,0.52
3469030,1,-122.39761122814693,4,$325.00,1125,364,40,97,10,10,10,10,9,9,1,0.8
3469254,3,-122.42092329658247,2,$100.00,60,68,9,100,10,10,10,10,9,10,2,0.18
3475515,32,-122.43558689274104,4,$192.00,1125,365,3,87,9,8,8,8,10,9,32,0.06
3476601,32,-122.4270808132566,2,$148.00,1125,263,1,100,10,10,10,10,10,10,32,0.03
3479568,2,-122.4493910908117,7,$375.00,27,38,17,99,10,10,10,10,10,10,2,0.65
3481025,1,-122.47972097604487,4,$159.00,92,174,252,95,10,9,10,10,9,9,1,5.25
3482655,1,-122.42462464196305,1,$255.00,90,271,37,92,10,10,9,10,10,9,1,0.74
3486460,3,-122.39817696265628,2,$133.00,1125,126,242,98,10,10,10,10,10,10,3,4.79
3498457,5,-122.47941670746171,1,$86.00,1125,342,2,90,8,9,10,10,8,10,3,0.06
3506164,1,-122.42606005871139,2,$175.00,7,44,284,98,10,10,10,10,10,10,1,5.65
